"method","N","M","P","execution_time","work_performed"
"SPFA_nospeedup","123","308","4","8.825841243530274","21.793361525634765"
"SPFA_nospeedup","72","141","4","1.1305062351989745","3.066958442443848"
"SPFA_nospeedup","43","83","4","0.2743268677062988","0.7003595600585938"
"MatMul","154","329","4","78.67632575","308.449936"
"MatMul","152","380","4","75.4700295","296.48042"
"MatMul","50","98","4","2.1021404765625","8.00882865625"
"MatMul","148","316","4","70.023660375","275.29902"
"MatMul","106","217","4","21.30813975","83.08091725"
"MatMul","164","361","4","94.0984055","369.283415"
"MatMul","66","163","4","5.855265375","22.531791375"
"MatMul","42","76","4","1.31936292578125","5.07038359375"
"MatMul","103","194","4","20.262014625","79.225054"
"MatMul","51","109","4","2.3155704140625","8.8589364375"
"MatMul","32","58","4","0.47520925","1.7818286796875"
"MatMul","73","134","4","7.90172309375","30.69161125"
"MatMul","130","277","4","48.77332725","190.780748"
"MatMul","101","189","4","19.0554136875","74.8241215"
"MatMul","26","47","4","0.273156","1.0336527734375"
"MatMul","37","68","4","1.0134861328125","3.8789760625"
"MatMul","159","348","4","87.748183","345.23498"
"MatMul","105","310","4","21.273879","83.10666175"
"MatMul","28","50","4","0.3389044921875","1.2719242265625"
"MatMul","110","279","4","23.6771410625","92.35145075"
"MatMul","89","184","4","13.66512178125","52.88045675"
"MatMul","155","338","4","81.39105575","320.724567"
"MatMul","118","222","4","28.70167825","112.6217515"
"MatMul","103","194","4","20.388151","79.10708325"
"MatMul","40","73","4","1.17554986328125","4.47783884375"
"MatMul","101","297","4","19.2306039375","75.00662075"
"MatMul","114","338","4","26.231254375","102.07387875"
"MatMul","138","298","4","57.5856825","225.725833"
"MatMul","52","103","4","2.3245480234375","8.84120903125"
"MatMul","70","141","4","6.88870365625","26.5547879375"
"MatMul","51","109","4","2.32582709375","8.94794846875"
"MatMul","94","243","4","15.457097875","60.030671125"
"MatMul","105","197","4","21.4909515625","83.46633875"
"MatMul","137","293","4","57.1966475","225.062287"
"MatMul","165","363","4","96.87317425","381.972285"
"MatMul","65","161","4","5.816865421875","22.431247375"
"MatMul","141","300","4","62.294818","244.4626345"
"MatMul","192","480","4","147.47518825","581.654008"
"MatMul","47","118","4","1.873650796875","7.2246405625"
"MatMul","35","74","4","0.90350821875","3.421914890625"
"MatMul","76","216","4","8.54164675","33.211178625"
"MatMul","24","42","4","0.23339305078125","0.87670537109375"
"MatMul","67","121","4","6.38159959375","24.51744325"
"MatMul","168","416","4","100.20833975","394.584483"
"MatMul","58","162","4","3.041158640625","11.7940265"
"MatMul","124","264","4","33.0863095","129.6746085"
"MatMul","145","361","4","67.3475255","264.532337"
